	C_Barri	N_Barri	Value
0	01	el Raval	56.5
1	02	el Barri Gòtic	48.30769230769231
2	03	la Barceloneta	57.75
3	04	Sant Pere, Santa Caterina i la Ribera	50.93333333333333
4	05	el Fort Pienc	49.078947368421055
5	06	la Sagrada Família	50.94444444444444
6	07	la Dreta de l'Eixample	66.3125
7	08	l'Antiga Esquerra de l'Eixample	66.83333333333333
8	09	la Nova Esquerra de l'Eixample	55.857142857142854
9	10	Sant Antoni	61.61538461538461
10	11	el Poble Sec	
11	12	la Marina del Prat Vermell	
12	13	la Marina de Port	49.34285714285714
13	14	la Font de la Guatlla	
14	15	Hostafrancs	
15	16	la Bordeta	
16	17	Sants - Badal	53.0
17	18	Sants	47.4
18	19	les Corts	46.61764705882353
19	20	la Maternitat i Sant Ramon	47.68181818181818
20	21	Pedralbes	
21	22	Vallvidrera, el Tibidabo i les Planes	
22	23	Sarrià	44.189189189189186
23	24	les Tres Torres	78.25
24	25	Sant Gervasi - la Bonanova	79.33333333333333
25	26	Sant Gervasi - Galvany	62.25
26	27	el Putxet i el Farró	60.333333333333336
27	28	Vallcarca i els Penitents	
28	29	el Coll	43.5
29	30	la Salut	44.0
30	31	la Vila de Gràcia	49.5
31	32	el Camp d'en Grassot i Gràcia Nova	43.86666666666667
32	33	el Baix Guinardó	49.0
33	34	Can Baró	
34	35	el Guinardó	50.0
35	36	la Font d'en Fargues	38.074074074074076
36	37	el Carmel	46.19230769230769
37	38	la Teixonera	38.25
38	39	Sant Genís dels Agudells	
39	40	Montbau	
40	41	la Vall d'Hebron	
41	42	la Clota	
42	43	Horta	
43	44	Vilapicina i la Torre Llobeta	52.666666666666664
44	45	Porta	39.07142857142857
45	46	el Turó de la Peira	36.333333333333336
46	47	Can Peguera	32.5
47	48	la Guineueta	33.0
48	49	Canyelles	
49	50	les Roquetes	
50	51	Verdun	
51	52	la Prosperitat	
52	53	la Trinitat Nova	
53	54	Torre Baró	
54	55	Ciutat Meridiana	
55	56	Vallbona	
56	57	la Trinitat Vella	
57	58	Baró de Viver	
58	59	el Bon Pastor	49.4
59	60	Sant Andreu de Palomar	45.333333333333336
60	61	la Sagrera	49.035714285714285
61	62	el Congrés i els Indians	50.5
62	63	Navas	58.0
63	64	el Camp de l'Arpa del Clot	
64	65	el Clot	
65	66	el Parc i la Llacuna del Poblenou	44.25
66	67	la Vila Olímpica del Poblenou	43.0
67	68	el Poblenou	45.45454545454545
68	69	Diagonal Mar i el Front Marítim del Poblenou	45.0
69	70	el Besòs i el Maresme	
70	71	Provençals del Poblenou	48.666666666666664
71	72	Sant Martí de Provençals	30.0
72	73	la Verneda i la Pau	35.41379310344828
